initial_stock_price,volatility,option_price,probability
100,0.100000,0.233398,0.000300
100,0.100000,0.258630,0.000300
100,0.100000,10.191691,0.000300
100,0.100000,3.791132,0.000300
100,0.100000,3.816365,0.000300
100,0.100000,3.833186,0.000300
100,0.100000,10.258977,0.000300
100,0.100000,0.325915,0.000300
100,0.100000,0.330121,0.000300
100,0.100000,0.334326,0.000300
100,0.100000,3.845802,0.000300
100,0.100000,3.866829,0.000300
100,0.100000,10.288414,0.000300
100,0.100000,0.742246,0.000300
100,0.100000,5.582616,0.000300
100,0.100000,2.966882,0.000300
100,0.100000,1.091291,0.000300
100,0.100000,7.870332,0.000300
100,0.100000,0.868407,0.000300
100,0.100000,4.421936,0.000300
100,0.100000,1.049237,0.000300
100,0.100000,2.937444,0.000300
100,0.100000,1.057648,0.000300
100,0.100000,4.451374,0.000300
100,0.100000,2.945855,0.000300
100,0.100000,8.072189,0.000300
100,0.100000,7.929207,0.000300
100,0.100000,4.455579,0.000300
100,0.100000,0.889434,0.000300
100,0.100000,8.189939,0.000300
100,0.100000,3.042578,0.000300
100,0.100000,8.030136,0.000300
100,0.100000,0.893639,0.000300
100,0.100000,7.983877,0.000300
100,0.100000,4.207463,0.000300
100,0.100000,8.316100,0.000300
100,0.100000,11.104254,0.000300
100,0.100000,1.108112,0.000300
100,0.100000,3.050989,0.000300
100,0.100000,13.799890,0.000200
100,0.100000,4.661642,0.000200
100,0.100000,3.757489,0.000200
100,0.100000,13.808301,0.000200
100,0.100000,4.724722,0.000200
100,0.100000,5.305062,0.000200
100,0.100000,4.695285,0.000200
100,0.100000,14.758712,0.000200
100,0.100000,3.799543,0.000200
100,0.100000,4.413526,0.000200
100,0.100000,4.384088,0.000200
100,0.100000,4.409320,0.000200
100,0.100000,3.795338,0.000200
100,0.100000,5.254598,0.000200
100,0.100000,3.820570,0.000200
100,0.100000,5.296651,0.000200
100,0.100000,5.263009,0.000200
100,0.100000,3.782722,0.000200
100,0.100000,15.044677,0.000200
100,0.100000,3.749079,0.000200
100,0.100000,4.485017,0.000200
100,0.100000,5.570000,0.000200
100,0.100000,3.572454,0.000200
100,0.100000,3.585070,0.000200
100,0.100000,4.510249,0.000200
100,0.100000,5.561589,0.000200
100,0.100000,14.607319,0.000200
100,0.100000,5.557384,0.000200
100,0.100000,3.610302,0.000200
100,0.100000,3.622918,0.000200
100,0.100000,5.519535,0.000200
100,0.100000,3.631329,0.000200
100,0.100000,13.593827,0.000200
100,0.100000,13.623265,0.000200
100,0.100000,15.751177,0.000200
100,0.100000,4.535481,0.000200
100,0.100000,3.656561,0.000200
100,0.100000,3.660766,0.000200
100,0.100000,4.590151,0.000200
100,0.100000,3.677588,0.000200
100,0.100000,4.438758,0.000200
100,0.100000,5.410196,0.000200
100,0.100000,3.698614,0.000200
100,0.100000,13.963899,0.000200
100,0.100000,4.640615,0.000200
100,0.100000,15.860517,0.000200
100,0.100000,4.653231,0.000200
100,0.100000,4.636410,0.000200
100,0.100000,3.929909,0.000200
100,0.100000,14.321355,0.000200
100,0.100000,4.834062,0.000200
100,0.100000,4.081302,0.000200
100,0.100000,4.842472,0.000200
100,0.100000,13.509720,0.000200
100,0.100000,4.287365,0.000200
100,0.100000,14.216221,0.000200
100,0.100000,4.855089,0.000200
100,0.100000,4.283160,0.000200
100,0.100000,4.901348,0.000200
100,0.100000,15.196070,0.000200
100,0.100000,4.905553,0.000200
100,0.100000,14.960570,0.000200
100,0.100000,4.119150,0.000200
100,0.100000,4.270543,0.000200
100,0.100000,4.913964,0.000200
100,0.100000,4.257927,0.000200
100,0.100000,4.135972,0.000200
100,0.100000,4.224284,0.000200
100,0.100000,14.169962,0.000200
100,0.100000,4.152793,0.000200
100,0.100000,4.968633,0.000200
100,0.100000,5.035919,0.000200
100,0.100000,5.019098,0.000200
100,0.100000,9.754333,0.000200
100,0.100000,14.073238,0.000200
100,0.100000,4.182231,0.000200
100,0.100000,5.006482,0.000200
100,0.100000,14.081649,0.000200
100,0.100000,4.056070,0.000200
100,0.100000,4.825651,0.000200
100,0.100000,3.900472,0.000200
100,0.100000,5.128437,0.000200
100,0.100000,3.913088,0.000200
100,0.100000,3.925704,0.000200
100,0.100000,4.199052,0.000200
100,0.100000,3.942525,0.000200
100,0.100000,5.204133,0.000200
100,0.100000,4.358856,0.000200
100,0.100000,3.950936,0.000200
